"symbol","lastPrice","openingPrice","high","low","close","change","trades","volume","value","tradeDate","openToCloseChange","tradesVolumeDivergence","priceOutlier","volumeOutlier","volumeIncreaseNoChange"
"ABBEYBDS",3.1,3.1,,,3.1,,5,25510,79984,"07 Feb 25",0,"Normal",false,false,false
"ABCTRANS",1.14,1.14,,,1.14,,19,53567,62183.99,"07 Feb 25",0,"Normal",false,false,false
"ACADEMY",2.72,2.72,2.99,2.99,2.99,0.27,5,138369,413723.31,"07 Feb 25",0.09926470588235294,"Normal",true,false,false
"ACCESSCORP",27.6,27.6,28,27.6,28,0.4,582,23643459,657663820.1,"07 Feb 25",0.014492753623188354,"Normal",true,true,false
"AFRINSURE",0.2,0.2,,,0.2,,0,,,"07 Feb 25",0,"Normal",false,false,false
"AFRIPRUD",29.75,29.75,31.95,29.75,31.95,2.2,159,2691371,82235627.05,"07 Feb 25",0.07394957983193275,"Normal",true,true,false
"AFROMEDIA",0.24,0.24,,,0.24,,0,,,"07 Feb 25",0,"Normal",false,false,false
"AIICO",1.69,1.69,1.75,1.68,1.69,0,156,4236858,7202294.99,"07 Feb 25",0,"Normal",false,true,false
"AIRTELAFRI",2156.9,2156.9,,,2156.9,,5,566,1342835,"07 Feb 25",0,"Normal",false,false,false
"ALEX",7.15,7.15,,,7.15,,7,570,3937.05,"07 Feb 25",0,"Normal",false,false,false
"ARADEL",569.3,569.3,,,569.3,,307,1130785,622136094.4,"07 Feb 25",0,"High Trades/Low Volume",false,false,false
"ASOSAVINGS",0.5,0.5,,,0.5,,0,,,"07 Feb 25",0,"Normal",false,false,false
"AUSTINLAZ",1.75,1.75,1.8,1.8,1.8,0.05,5,116857,210677.6,"07 Feb 25",0.0285714285714286,"Normal",true,false,false
"AVAIF",1000000,1000000,,,1000000,,0,,,"07 Feb 25",0,"Normal",false,false,false
"BAPLC",6.25,6.25,,,6.25,,0,,,"07 Feb 25",0,"Normal",false,false,false
"BERGER",21,21,,,21,,30,169096,3550567.9,"07 Feb 25",0,"Normal",false,false,false
"BETAGLAS",86.5,86.5,,,86.5,,51,85454,7771307.05,"07 Feb 25",0,"Normal",false,false,false
"BUACEMENT",93,93,,,93,,94,438004,36660934.8,"07 Feb 25",0,"Normal",false,false,false
"BUAFOODS",415,415,,,415,,45,17498,6535503,"07 Feb 25",0,"Normal",false,false,false
"CADBURY",26.7,26.7,29.35,28.2,29.35,2.65,193,5203602,151719463.5,"07 Feb 25",0.09925093632958809,"Normal",true,true,false
"CAP",47,47,47,47,47,0,14,538257,25307162.55,"07 Feb 25",0,"Normal",false,false,false
"CAPOIL",0.2,0.2,,,0.2,,0,,,"07 Feb 25",0,"Normal",false,false,false
"CAVERTON",2.05,2.05,2.1,2.1,2.1,0.05,53,660018,1402182.64,"07 Feb 25",0.024390243902439157,"Normal",true,false,false
"CHAMPION",3.7,3.7,,,3.7,,17,225716,877871.26,"07 Feb 25",0,"Normal",false,false,false
"CHAMS",2.12,2.12,2.3,2.14,2.25,0.13,174,12124880,27344619.76,"07 Feb 25",0.06132075471698108,"Normal",true,true,false
"CHELLARAM",7.89,7.89,,,7.89,,19,147280,1203220.2,"07 Feb 25",0,"Normal",false,false,false
"CILEASING",3.9,3.9,3.85,3.76,3.76,-0.14,43,1187192,4550009.1,"07 Feb 25",-0.03589743589743593,"Normal",true,false,false
"CONHALLPLC",3.05,3.05,3.1,3.04,3.04,-0.01,55,4616916,14212175.5,"07 Feb 25",-0.003278688524590094,"Normal",true,true,false
"CONOIL",387.2,387.2,,,387.2,,28,11662,4064207,"07 Feb 25",0,"Normal",false,false,false
"CORNERST",3.36,3.36,3.3,3.3,3.3,-0.06,27,684740,2251731.4,"07 Feb 25",-0.017857142857142873,"Normal",true,false,false
"CUSTODIAN",18.55,18.55,18.6,18.6,18.6,0.05,75,1153321,21547843.9,"07 Feb 25",0.0026954177897574507,"Normal",true,false,false
"CUTIX",2.4,2.4,2.55,2.4,2.45,0.05,170,24310241,58740402.88,"07 Feb 25",0.020833333333333447,"Normal",true,true,false
"CWG",8,8,8.4,8.15,8.4,0.4,135,3377290,27808548.55,"07 Feb 25",0.050000000000000044,"Normal",true,true,false
"DAARCOMM",0.81,0.81,,,0.81,,26,388615,304249.89,"07 Feb 25",0,"Normal",false,false,false
"DANGCEM",394,394,,,394,,249,452348,178663634.6,"07 Feb 25",0,"High Trades/Low Volume",false,false,false
"DANGSUGAR",36.5,36.5,35.8,35.8,35.8,-0.7,210,1618782,58231131.65,"07 Feb 25",-0.0191780821917809,"Normal",true,true,false
"DEAPCAP",1.05,1.05,1.09,1.09,1.09,0.04,32,941705,998797.47,"07 Feb 25",0.038095238095238126,"Normal",true,false,false
"DUNLOP",0.2,0.2,,,0.2,,0,,,"07 Feb 25",0,"Normal",false,false,false
"EKOCORP",5.8,5.8,,,5.8,,0,,,"07 Feb 25",0,"Normal",false,false,false
"ELLAHLAKES",3.2,3.2,3.24,3.2,3.22,0.02,79,5892643,18991822.72,"07 Feb 25",0.0062500000000000056,"Normal",true,true,false
"ENAMELWA",21.2,21.2,,,21.2,,2,23556,542088,"07 Feb 25",0,"Normal",false,false,false
"ETERNA",33.35,33.35,36.65,34.5,36.65,3.3,427,7237385,257616627.65,"07 Feb 25",0.0989505247376311,"Normal",true,true,false
"ETI",31.3,31.3,,,31.3,,61,421280,13099901.45,"07 Feb 25",0,"Normal",false,false,false
"ETRANZACT",6.5,6.5,,,6.5,,10,15467,99100.5,"07 Feb 25",0,"Normal",false,false,false
"EUNISELL",13.34,13.34,,,13.34,,13,59993,732080.93,"07 Feb 25",0,"Normal",false,false,false
"FBNH",32,32,33,31.7,33,1,298,9568262,306047435.65,"07 Feb 25",0.03125,"Normal",true,true,false
"FCMB",11.6,11.6,11.95,11.6,11.9,0.3,224,6227247,73065813.5,"07 Feb 25",0.025862068965517303,"Normal",true,true,false
"FIDELITYBK",19.85,19.85,21.15,19.85,20.8,0.95,487,20441025,426283620.1,"07 Feb 25",0.04785894206549114,"Normal",true,true,false
"FIDSON",19.1,19.1,20.9,20.9,20.9,1.8,187,2216991,44603867.3,"07 Feb 25",0.09424083769633493,"Normal",true,true,false
"FTNCOCOA",1.88,1.88,1.87,1.7,1.87,-0.01,97,3934008,6956362.66,"07 Feb 25",-0.0053191489361701,"Normal",true,true,false
"GEREGU",1150,1150,,,1150,,39,3566,3690810,"07 Feb 25",0,"Normal",false,false,false
"GOLDBREW",7.87,7.87,,,7.87,,10,50465,361410.25,"07 Feb 25",0,"Normal",false,false,false
"GOLDINSURE",0.2,0.2,,,0.2,,0,,,"07 Feb 25",0,"Normal",false,false,false
"GTCO",64,64,64,64,64,0,290,5750843,367998881.45,"07 Feb 25",0,"Normal",false,true,true
"GUINEAINS",0.85,0.85,0.9,0.85,0.85,0,83,2039789,1773238.77,"07 Feb 25",0,"Normal",false,true,false
"GUINNESS",77,77,,,77,,38,84134,6452964.5,"07 Feb 25",0,"Normal",false,false,false
"HMCALL",4.98,4.98,,,4.98,,8,41788,218436.52,"07 Feb 25",0,"Normal",false,false,false
"HONYFLOUR",9.5,9.5,9.88,9.52,9.52,0.02,201,3561105,34602620.92,"07 Feb 25",0.002105263157894692,"Normal",true,true,false
"IKEJAHOTEL",10.35,10.35,11.25,11.25,11.25,0.9,39,284534,3164543.8,"07 Feb 25",0.08695652173913047,"Normal",true,false,false
"IMG",38,38,,,38,,10,6020,209848.5,"07 Feb 25",0,"Normal",false,false,false
"INFINITY",7,7,,,7,,1,20000,126000,"07 Feb 25",0,"Normal",false,false,false
"INTBREW",5.4,5.4,,,5.4,,32,512868,2761139.72,"07 Feb 25",0,"Normal",false,false,false
"INTENEGINS",2.5,2.5,,,2.5,,17,345481,837510.3,"07 Feb 25",0,"Normal",false,false,false
"JAIZBANK",3.4,3.4,3.32,3.29,3.3,-0.1,211,8167548,26973307.75,"07 Feb 25",-0.02941176470588238,"Normal",true,true,false
"JAPAULGOLD",2.18,2.18,2.2,2.11,2.11,-0.07,86,3570203,7733274.74,"07 Feb 25",-0.03211009174311939,"Normal",true,true,false
"JBERGER",139.8,139.8,,,139.8,,57,44399,5673593.4,"07 Feb 25",0,"Normal",false,false,false
"JOHNHOLT",7.51,7.51,,,7.51,,26,147503,1126864.87,"07 Feb 25",0,"Normal",false,false,false
"JULI",10.3,10.3,,,10.3,,7,13100,121830,"07 Feb 25",0,"Normal",false,false,false
"LASACO",3,3,2.94,2.94,2.94,-0.06,34,735570,2147943.8,"07 Feb 25",-0.020000000000000018,"Normal",true,false,false
"LEARNAFRCA",4.5,4.5,4.3,4.3,4.3,-0.2,10,169569,733330.54,"07 Feb 25",-0.04444444444444448,"Normal",true,false,false
"LINKASSURE",1.48,1.48,,,1.48,,14,257823,374946.99,"07 Feb 25",0,"Normal",false,false,false
"LIVESTOCK",5.28,5.28,5.8,5.39,5.8,0.52,166,6725571,38197967.24,"07 Feb 25",0.0984848484848484,"Normal",true,true,false
"LIVINGTRUST",4.81,4.81,,,4.81,,2,400,1986,"07 Feb 25",0,"Normal",false,false,false
"MANSARD",9.45,9.45,9.55,9.26,9.26,-0.19,80,1114472,10450898.5,"07 Feb 25",-0.020105820105820054,"Normal",true,false,false
"MAYBAKER",7.75,7.75,8.5,8.4,8.5,0.75,80,2648845,22259778.6,"07 Feb 25",0.0967741935483871,"Normal",true,true,false
"MBENEFIT",0.61,0.61,,,0.61,,0,,,"07 Feb 25",0,"Normal",false,false,false
"MCNICHOLS",1.8,1.8,1.78,1.75,1.75,-0.05,21,1213189,2132466.75,"07 Feb 25",-0.0277777777777778,"Normal",true,false,false
"MECURE",13.9,13.9,12.55,12.55,12.55,-1.35,5,111251,1396200.05,"07 Feb 25",-0.09712230215827335,"Normal",true,false,false
"MEDVIEWAIR",1.62,1.62,,,1.62,,0,,,"07 Feb 25",0,"Normal",false,false,false
"MEYER",9.25,9.25,,,9.25,,4,14288,119304.8,"07 Feb 25",0,"Normal",false,false,false
"MORISON",3.61,3.61,,,3.61,,0,,,"07 Feb 25",0,"Normal",false,false,false
"MRS",168,168,,,168,,107,393457,66981301.2,"07 Feb 25",0,"Normal",false,false,false
"MTNN",255,255,,,255,,349,629291,164431198.1,"07 Feb 25",0,"High Trades/Low Volume",false,false,false
"MULTITREX",0.36,0.36,,,0.36,,0,,,"07 Feb 25",0,"Normal",false,false,false
"MULTIVERSE",10.05,10.05,9.05,9.05,9.05,-1,39,722608,6587307.65,"07 Feb 25",-0.09950248756218905,"Normal",true,false,false
"NAHCO",55.95,55.95,,,55.95,,108,1303497,74391274.6,"07 Feb 25",0,"Normal",false,true,false
"NASCON",39.95,39.95,40.8,40.8,40.8,0.85,75,834694,33713029.85,"07 Feb 25",0.02127659574468071,"Normal",true,false,false
"NB",34,34,34,33.9,34,0,124,1607494,53842678.65,"07 Feb 25",0,"Normal",false,true,false
"NCR",7.3,7.3,,,7.3,,2,1065,8520,"07 Feb 25",0,"Normal",false,false,false
"NEIMETH",2.9,2.9,3.14,2.9,3.14,0.24,46,1336187,3980700.58,"07 Feb 25",0.08275862068965525,"Normal",true,true,false
"NEM",12.05,12.05,13.2,13.05,13.2,1.15,43,812936,10539424.3,"07 Feb 25",0.09543568464730279,"Normal",true,false,false
"NESTLE",975,975,,,975,,67,39715,39425814.8,"07 Feb 25",0,"Normal",false,false,false
"NGXGROUP",29,29,,,29,,18,101035,2853744.7,"07 Feb 25",0,"Normal",false,false,false
"NIDF",111.7,111.7,,,111.7,,31,24173,2870763.9,"07 Feb 25",0,"Normal",false,false,false
"NNFM",73.3,73.3,,,73.3,,77,472835,34138822.55,"07 Feb 25",0,"Normal",false,false,false
"NOTORE",62.5,62.5,,,62.5,,0,,,"07 Feb 25",0,"Normal",false,false,false
"NPFMCRFBK",1.89,1.89,1.77,1.74,1.74,-0.15,35,4414191,7731592.49,"07 Feb 25",-0.07936507936507932,"Low Trades/High Volume",true,true,false
"NSLTECH",0.7,0.7,0.7,0.7,0.7,0,246,1259494,881849.59,"07 Feb 25",0,"High Trades/Low Volume",false,false,false
"OANDO",70.3,70.3,71.8,70,70.6,0.3,597,4006862,282986584.85,"07 Feb 25",0.004267425320056859,"Normal",true,true,false
"OKOMUOIL",537.2,537.2,536,536,536,-1.2,157,998771,535565806.3,"07 Feb 25",-0.002233804914370896,"High Trades/Low Volume",true,false,false
"OMATEK",0.8,0.8,0.82,0.82,0.82,0.02,32,605244,486469.11,"07 Feb 25",0.024999999999999883,"Normal",true,false,false
"PHARMDEKO",1.83,1.83,,,1.83,,0,,,"07 Feb 25",0,"Normal",false,false,false
"PREMPAINTS",10,10,,,10,,0,,,"07 Feb 25",0,"Normal",false,false,false
"PRESCO",685,685,700.2,685,700.2,15.2,227,1191583,821252514.9,"07 Feb 25",0.022189781021897878,"High Trades/Low Volume",true,false,false
"PRESTIGE",1.19,1.19,1.29,1.22,1.26,0.07,46,5731086,7159738.59,"07 Feb 25",0.05882352941176476,"Normal",true,true,false
"PZ",22.3,22.3,23.6,23.6,23.6,1.3,69,1082757,25761132.4,"07 Feb 25",0.05829596412556057,"Normal",true,false,false
"REDSTAREX",5.5,5.5,,,5.5,,9,49103,277972.95,"07 Feb 25",0,"Normal",false,false,false
"REGALINS",0.71,0.71,0.78,0.77,0.77,0.06,213,6041820,4651975.28,"07 Feb 25",0.08450704225352121,"Normal",true,true,false
"RONCHESS",81,81,,,81,,0,,,"07 Feb 25",0,"Normal",false,false,false
"ROYALEX",0.99,0.99,0.99,0.98,0.99,0,29,5338066,5272244.78,"07 Feb 25",0,"Low Trades/High Volume",false,true,true
"RTBRISCOE",2.7,2.7,2.7,2.7,2.7,0,21,613848,1654513.3,"07 Feb 25",0,"Normal",false,false,false
"SCOA",3.67,3.67,,,3.67,,21,99640,376733.63,"07 Feb 25",0,"Normal",false,false,false
"SEPLAT",5700,5700,,,5700,,46,5470,28061100,"07 Feb 25",0,"Normal",false,false,false
"SFSREIT",197.35,197.35,,,197.35,,30,89197,18702523.3,"07 Feb 25",0,"Normal",false,false,false
"SKYAVN",43.5,43.5,,,43.5,,38,156493,6175618,"07 Feb 25",0,"Normal",false,false,false
"SMURFIT",0.2,0.2,,,0.2,,0,,,"07 Feb 25",0,"Normal",false,false,false
"SOVRENINS",1.2,1.2,1.32,1.15,1.21,0.01,80,5645657,7125884.6,"07 Feb 25",0.008333333333333342,"Normal",true,true,false
"STACO",0.48,0.48,,,0.48,,0,,,"07 Feb 25",0,"Normal",false,false,false
