"symbol","lastPrice","openingPrice","high","low","close","change","trades","volume","value","tradeDate"
"PZ",22.3,22.3,23.6,23.6,23.6,1.3,69,1082757,25761132.4,"07 Feb 25"
"REDSTAREX",5.5,5.5,,,5.5,,9,49103,277972.95,"07 Feb 25"
"REGALINS",0.71,0.71,0.78,0.77,0.77,0.06,213,6041820,4651975.28,"07 Feb 25"
"RONCHESS",81,81,,,81,,0,,,"07 Feb 25"
"ROYALEX",0.99,0.99,0.99,0.98,0.99,0,29,5338066,5272244.78,"07 Feb 25"
"RTBRISCOE",2.7,2.7,2.7,2.7,2.7,0,21,613848,1654513.3,"07 Feb 25"
"SCOA",3.67,3.67,,,3.67,,21,99640,376733.63,"07 Feb 25"
"SEPLAT",5700,5700,,,5700,,46,5470,28061100,"07 Feb 25"
"SFSREIT",197.35,197.35,,,197.35,,30,89197,18702523.3,"07 Feb 25"
"SKYAVN",43.5,43.5,,,43.5,,38,156493,6175618,"07 Feb 25"
"SMURFIT",0.2,0.2,,,0.2,,0,,,"07 Feb 25"
"SOVRENINS",1.2,1.2,1.32,1.15,1.21,0.01,80,5645657,7125884.6,"07 Feb 25"
"STACO",0.48,0.48,,,0.48,,0,,,"07 Feb 25"
"STANBIC",63,63,62,62,62,-1,100,8810100,546376152.1,"07 Feb 25"
"STDINSURE",0.2,0.2,,,0.2,,0,,,"07 Feb 25"
"STERLINGNG",5.99,5.99,6.09,5.9,5.95,-0.04,240,22792235,136028804.03,"07 Feb 25"
"SUNUASSUR",5.01,5.01,,,5.01,,26,156941,807989.38,"07 Feb 25"
"TANTALIZER",2.08,2.08,2.06,2,2,-0.08,71,5046472,10114305.7,"07 Feb 25"
"THOMASWY",1.85,1.85,,,1.85,,7,101611,204948.56,"07 Feb 25"
"TIP",3.45,3.45,3.58,3.47,3.58,0.13,89,3296948,11233868.06,"07 Feb 25"
"TOTAL",670,670,,,670,,64,17589,11491449.6,"07 Feb 25"
"TRANSCOHOT",114.65,114.65,,,114.65,,24,7796,846264.25,"07 Feb 25"
"TRANSCORP",53.6,53.6,54,50.05,54,0.4,269,5128305,274749828.3,"07 Feb 25"
"TRANSEXPR",2,2,,,2,,1,1122,2019.6,"07 Feb 25"
"TRANSPOWER",349.8,349.8,,,349.8,,48,33769,10633858.1,"07 Feb 25"
"TRIPPLEG",2.23,2.23,,,2.23,,10,38350,84196.5,"07 Feb 25"
"UACN",36.05,36.05,,,36.05,,64,550493,19887110.95,"07 Feb 25"
"UBA",38,38,39.4,38,39.15,1.15,461,10139619,394371336,"07 Feb 25"
"UCAP",22.9,22.9,23.85,23.15,23.85,0.95,342,10187606,238412650.15,"07 Feb 25"
"UHOMREIT",36.6,36.6,,,36.6,,1,10,352,"07 Feb 25"
"UNILEVER",37.8,37.8,,,37.8,,39,75619,2909363.4,"07 Feb 25"
"UNIONDICON",7.5,7.5,,,7.5,,0,,,"07 Feb 25"
"UNITYBNK",1.51,1.51,,,1.51,,0,,,"07 Feb 25"
"UNIVINSURE",0.69,0.69,0.7,0.65,0.69,0,111,19762865,13509240.12,"07 Feb 25"
"UPDC",2.36,2.59,2.59,2.59,2.59,0.23,42,14939513,38693338.67,"07 Feb 25"
"UPDCREIT",6.2,6.2,6.2,6.15,6.2,0,45,1115166,6851820.75,"07 Feb 25"
"UPL",5.04,5.04,,,5.04,,21,600307,2831450.1,"07 Feb 25"
"VANLEER",5.45,5.45,,,5.45,,0,,,"07 Feb 25"
"VERITASKAP",1.18,1.18,1.2,1.17,1.17,-0.01,146,12069426,14341962.55,"07 Feb 25"
"VFDGROUP",44.4,44.4,,,44.4,,58,566907,24768022.4,"07 Feb 25"
"VITAFOAM",34.35,34.35,37.25,35,37.25,2.9,142,2348466,81863062,"07 Feb 25"
"WAPCO",70.9,70.9,74.95,71,74.95,4.05,141,6861847,491987603.55,"07 Feb 25"
"WAPIC",2.49,2.49,2.72,2.32,2.64,0.15,66,2502281,6388022.81,"07 Feb 25"
"WEMABANK",11.35,11.35,11.35,11,11.35,0,228,8381314,93300137.75,"07 Feb 25"
"ZENITHBANK",50.3,50.3,52,50.5,52,1.7,509,16779525,854785571.4,"07 Feb 25"
